timestamp,query,matched_title,recommendations_count,latency_ms,status
2026-04-25T18:10:58.985977,Hary potter movie,Date Movie,10,6635.16,success
2026-04-25T18:11:34.619635,Prisoner of Azabakazen,The Prisoner of Zenda,10,4786.07,success
2026-04-25T18:12:21.776791,Daniel Radcliffe,The Woman in Black,10,6441.41,success
2026-04-25T18:12:43.531672,Philosopher stone,Gladiator,10,6506.98,success
2026-04-25T18:13:07.937198,harry potter and Philosopher's stone,Harry Potter and the Philosopher's Stone,10,4688.75,success
2026-04-25T18:53:43.479185,hermoine,The Rookie,10,16219.62,success
2026-04-25T18:53:58.698201,Loki,War Horse,10,4550.14,success
2026-04-25T18:54:47.378755,Peter parker,Parker,10,3990.53,success
2026-04-25T18:55:01.549608,Peter Parker,Parker,10,3127.32,success
2026-04-25T18:55:17.368032,tobeymaguire,The Good German,10,4223.91,success
2026-04-26T08:42:55.249086,Welcome,Thunder and the House of Magic,10,10802.39,success
2026-04-26T08:43:11.580168,jumanji,Manito,10,5797.07,success
2026-04-26T08:43:27.357369,Simpsons,Impostor,10,3892.11,success
2026-04-26T08:43:49.208997,The Simpsons,The Simpsons Movie,10,4033.08,success
2026-04-26T08:44:12.976517,MIB,Subconscious,10,3656.87,success
2026-04-26T08:44:26.482290,WillSmith,Independence Day,10,2874.69,success
2026-04-26T08:44:42.562854,Tom Hanks,Larry Crowne,10,3328.1,success
2026-04-26T08:51:49.943605,polar express,The Polar Express,10,3722.29,success
2026-04-26T08:51:52.067160,polar express,The Polar Express,10,2105.51,success
2026-04-26T08:52:03.038508,finding nemo,Finding Nemo,10,2947.66,success
2026-04-26T08:52:05.474027,finding nemo,Finding Nemo,10,2413.87,success
2026-04-26T08:53:23.130475,Bart Simpson,The Simpsons Movie,10,2672.89,success
2026-04-26T08:53:48.491603,Spongebob Squarepaint,The SpongeBob SquarePants Movie,10,2550.66,success
2026-04-26T08:53:54.807821,Spongebob Squarepant,The SpongeBob SquarePants Movie,10,2282.58,success
2026-04-26T08:54:04.673335,Spongebob Squarepants,The SpongeBob SquarePants Movie,10,2566.22,success
2026-04-26T09:08:19.197009,Tom Hanks,Larry Crowne,10,3579.61,success
2026-04-26T09:08:36.305104,Forrest gump,Larry Crowne,10,2692.21,success
2026-04-26T09:09:11.096458,Green Mile,The Green Mile,10,3358.53,success
2026-04-26T09:09:32.320577,Captain Phillips,Captain Phillips,10,3504.24,success
2026-04-26T09:09:48.593183,Forrest Gumps,Forrest Gump,10,2877.46,success
2026-04-26T09:18:10.198049,Nolan,Insomnia,10,20994.97,success
2026-04-26T09:30:55.388827,Captain phillips,Captain Phillips,10,13500.26,success
2026-04-26T09:30:59.785332,Captain phillips,Captain Phillips,10,4368.9,success
2026-04-26T09:31:39.070319,Green mile,The Green Mile,10,10265.45,success
2026-04-26T09:59:26.709361,Tom Hanks,The Da Vinci Code,10,9104.33,success
2026-04-26T10:02:30.433029,Captain Phillips,Captain Phillips,10,8585.5,success
2026-04-26T10:03:01.760989,Green Miles,The Green Mile,10,8172.56,success
2026-04-26T10:44:45.389953,Tom hanks,The Da Vinci Code,10,5839.28,success
2026-04-26T10:47:13.573816,Brad pitt,Burn After Reading,10,3267.57,success
